㯤	棘	MJ001835
㯥	曹	MJ001836
㯦	棊	MJ001837
㯪	櫺	MJ001838
㯭	櫓	MJ001842
㯳	檠	MJ001848
㯳	檠	MJ001849
㯷	樸	MJ001850
㯾	槽	MJ001854
㯾	槽	MJ001855
㰆	韛	MJ001864
㰉	榛	MJ001866
㰋	檳	MJ001868
㰌	榷	MJ001869
㰍	櫳	MJ001870
㰍	櫳	MJ001871
㰐	橢	MJ001874
㰓	欖	MJ001877
㰖	欖	MJ001880
㰗	槭	MJ001881
㰚	籬	MJ001884
㰛	櫟	MJ001885
㰞	嗤	MJ001888
㰟	冀	MJ001889
㰧	咍	MJ001897
㰯	否	MJ001905
㰱	歃	MJ001907
㰶	嘔	MJ001912
㰸	歛	MJ001914
㱁	款	MJ001923
㱃	飲	MJ001925
㱅	懿	MJ001927
㱊	嗄	MJ001932
㱋	塙	MJ001933
㱏	正	MJ001938
㱏	正	MJ057890
㱒	訶	MJ001939
㱕	歸	MJ001940
㱘	魘	MJ001943
㱙	朽	MJ001944
㱚	残	MJ001945
㱛	布	MJ001946
㱠	辜	MJ001951
㱨	殮	MJ001959
㱭	毈	MJ001963
㱺	臚	MJ001975
㱿	殼	MJ001980
㲇	鼕	MJ001988
㲈	鼗	MJ001989
㲊	叡	MJ001991
㲊	叡	MJ001992
㲓	絨	MJ001999
㲚	裟	MJ002005
㲜	毯	MJ002007
㲠	氂	MJ002011
㲭	毯	MJ002023
㲱	鬣	MJ002026
㲵	霄	MJ002029
㲻	溺	MJ002035
㲾	雨	MJ002038
㳂	沿	MJ002041
㳄	涎	MJ002043
㳅	流	MJ002044
㳈	沛	MJ002046
㳊	攸	MJ002047
㳑	溢	MJ002054
㳙	涓	MJ002059
㳞	沖	MJ002063
㳟	恭	MJ002064
㳟	恭	MJ002065
㳟	恭	MJ002066
㳤	淑	MJ002067
㳤	淑	MJ002068
㳭	涎	MJ002075
㳮	尿	MJ002076
㳶	乳	MJ002081
㳹	汪	MJ002085
㳺	游	MJ002086
㳼	洫	MJ002088
㳽	瀰	MJ002089
㳾	羌	MJ002091
㳿	渫	MJ002092
㴃	淚	MJ002097
㴅	消	MJ002100
㴆	浸	MJ002101
㴇	涉	MJ002102
㴉	濟	MJ002104
㴊	淵	MJ002105
㴔	澀	MJ002111
㴕	潗	MJ002112
㴖	濼	MJ002113
㴙	炸	MJ002116
㴜	徧	MJ002120
㴝	黎	MJ002121
㴠	涵	MJ002125
㴦	涫	MJ002128
㴱	深	MJ002139
㴱	深	MJ002140
㴴	湛	MJ002143
㴾	渤	MJ002150
㵄	漢	MJ002157
㵆	澔	MJ002159
㵋	汨	MJ002161
㵎	澗	MJ002164
㵏	漼	MJ002165
㵒	沸	MJ002168
㵓	湜	MJ002169
㵕	滲	MJ002171
㵝	裔	MJ002176
㵝	裔	MJ002177
㵣	渴	MJ002183
㵪	涎	MJ002192
㵭	渚	MJ002196
㵰	漵	MJ002199
㵸	瀹	MJ002207
㵻	膄	MJ002210
㵼	潟	MJ002211
㶆	涂	MJ002221
㶈	滎	MJ002224
㶓	爻	MJ002230
㶓	爻	MJ002231
㶜	淵	MJ002240
㶞	瀼	MJ002241
㶡	火	MJ002244
㶤	炒	MJ002246
㶮	炳	MJ002254
㶳	燼	MJ002258
㶳	燼	MJ057991
㶵	飪	MJ002260
㶻	烽	MJ002264
㶾	票	MJ002266
㷅	炒	MJ002273
㷇	恢	MJ002275
㷉	尉	MJ002277
㷊	焚	MJ002278
㷎	暍	MJ002280
㷐	燬	MJ002282
㷑	煙	MJ002283
㷖	照	MJ002289
𤋅	冏	MJ002290
㷙	煎	MJ002292
㷠	燐	MJ002295
㷥	烝	MJ002300
㷭	烽	MJ002305
㷭	烽	MJ002306
㷱	熊	MJ002310
㷱	熊	MJ058003
㷸	燁	MJ002316
㷻	無	MJ002318
㷼	燕	MJ002319
㸀	炱	MJ002322
㸁	熯	MJ002323
㸂	燧	MJ002324
㸂	燧	MJ002325
㸃	點	MJ002326
㸈	焦	MJ002329
㸉	燮	MJ002330
㸋	膰	MJ002332
㸏	糜	MJ002335
㸏	糜	MJ002336
㸐	然	MJ002337
㸑	爨	MJ002338
㸕	攫	MJ002340
㸘	萬	MJ002343
㸝	杴	MJ002348
㸣	業	MJ002354
㸤	辨	MJ002355
㸦	互	MJ002357
㸧	齦	MJ002358
㸫	犍	MJ002362
㸼	犎	MJ002380
㸾	牣	MJ002382
㹀	牸	MJ002384
㹄	稷	MJ002388
㹅	揔	MJ002389
㹇	犍	MJ002391
㹖	豢	MJ002405
㹜	犾	MJ002411
㹞	狺	MJ002413
㹟	獪	MJ002414
㹡	狷	MJ002416
㹤	怯	MJ002419
㹫	夷	MJ002424
㹮	貘	MJ002427
㹯	貅	MJ002428
㹷	豨	MJ002435
㹸	貌	MJ002436
㹻	猧	MJ002439
㺀	猱	MJ002444
㺅	猴	MJ002450
㺏	婁	MJ002458
㺐	狐	MJ002459
㺓	蹟	MJ002462
㺚	獺	MJ002468
㺚	獺	MJ002469
㺥	毚	MJ002479
㺪	璞	MJ002482
㺬	珙	MJ002484
㺲	鈕	MJ002489
㺳	玫	MJ002490
㺺	瑁	MJ002495
㻁	瑰	MJ002499
㻄	寶	MJ002502
㻍	珸	MJ002509
㻎	瑟	MJ002510
㻗	琲	MJ002517
㻞	彬	MJ002520
㻡	渫	MJ002523
㻮	璨	MJ002530
㻱	璡	MJ002533
㻽	璇	MJ002541
㼄	璣	MJ002546
㼇	瓊	MJ002547
㼙	甃	MJ002565
㼚	缸	MJ002566
㼜	盎	MJ002569
㼝	盌	MJ002570
㼭	墊	MJ002585
㼷	甎	MJ002595
㼼	瓢	MJ002600
㽁	鬲	MJ002605
㽍	坩	MJ002615
㽐	馦	MJ002617
㽒	甥	MJ002619
㽖	男	MJ002621
㽙	允	MJ002624
㽜	畹	MJ002627
㽞	留	MJ002629
㽟	埒	MJ002630
㽣	域	MJ002634
㽨	瘥	MJ002639
㽫	壅	MJ002642
㽬	副	MJ002643
㽭	堧	MJ002644
㽮	星	MJ002645
㽯	畦	MJ002646
㽱	㽲	MJ002648
㽽	痼	MJ002658
㾀	怯	MJ002661
㾁	怵	MJ002662
㾊	瘠	MJ002671
㾌	癬	MJ002673
㾐	励	MJ002677
㾓	悁	MJ002680
㾘	梗	MJ002685
㾝	瀉	MJ002690
㾢	癩	MJ002695
㾤	啌	MJ002697
㾬	痎	MJ002705
㾱	癈	MJ002710
㿂	癥	MJ002721
㿂	癥	MJ002722
㿅	癬	MJ002725
㿈	癰	MJ002728
㿋	瘙	MJ002732
㿍	疥	MJ002734
㿏	𤸷	MJ002736
㿖	廬	MJ002741
㿛	癧	MJ002746
㿝	香	MJ002747
㿞	耄	MJ002748
㿟	白	MJ002749
㿟	白	MJ002750
㿡	兜	MJ002752
㿢	耀	MJ002753
㿧	疇	MJ002758
㿨	皪	MJ002759
㿬	巴	MJ002764
㿲	欹	MJ002770
㿶	幫	MJ002774
䀆	盡	MJ002791
䀋	鹽	MJ002796
䀎	眄	MJ002798
䀏	眴	MJ002799
䀠	瞿	MJ002815
䀡	覘	MJ002816
䀢	瞬	MJ002817
䀵	瞬	MJ002834
䀸	晢	MJ002837
䀼	瞋	MJ002842
䀿	晣	MJ002845
䁀	鼎	MJ002846
䁎	瞠	MJ002862
䁑	揚	MJ002867
䁚	睘	MJ002876
䁝	熒	MJ002879
䁞	省	MJ002880
䁟	差	MJ002881
䁥	眤	MJ002886
䁦	覰	MJ002887
䁩	魚	MJ002890
䁱	暁	MJ002897
䁱	暁	MJ059940
䁱	暁	MJ059941
䁷	覚	MJ002903
䁹	睥	MJ002905
䁺	睪	MJ002906
䂐	拙	MJ002928
䂖	石	MJ002934
䂖	石	MJ002935
䂖	石	MJ002936
䂜	崩	MJ002942
䂝	磔	MJ002943
䂞	柘	MJ002944
䂡	砥	MJ002947
